Section;Type;Alerte ou signal;Apparaît quand;Disparaît quand;Données nécessaires;Seuil exact
Signal de décharge;Systémique;7 semaines en FORCE (décharge préventive tendineuse);objectif primaire = force;;;+20
Signal de décharge;Systémique;4 semaines écoulées — surveiller;position dans le mésocycle;;;+8
Signal de décharge;Systémique;Fin de mésocycle atteinte;position dans le mésocycle;;;+15
Signal de décharge;Systémique;Fatigue maximale 5/5 sur une des 2 dernières séances;fatigue globale;;;+55
Signal de décharge;Systémique;Fatigue ≥ 4/5 sur les 2 dernières séances;fatigue globale;;;+40
Signal de décharge;Systémique;Fatigue moyenne ≥ 3,5/5 sur les 6 dernières;fatigue globale;;;+15
Signal de décharge;Systémique;Sous-stimulation : fatigue ≤ 2/5 sur 3 séances;fatigue globale;;;−10
Signal de décharge;Systémique;Dérive de fatigue (+1,5 entre le début et la fin des 6 dernières);≥ 4 séances complétées;;;+15
Signal de décharge;Systémique;Régression généralisée des performances;≥ 4 séries enregistrées;;;+20
Signal de décharge;Systémique;Stagnation confirmée (3 sem. débutant, 2 sem. sinon);séries enregistrées;;;+8
Signal de décharge;Systémique;Dérive de RIR (on force plus pour le même résultat);intermédiaire et avancé seulement, ≥ 8 séries;;;+15
Signal de décharge;Systémique;Sommeil dégradé sur 2 des 4 dernières séances;check-ins;;;+10
Signal de décharge;Zonal;Raideur post-séance répétée (2 fois sur les 4 dernières);check-ins J+1;;;+18
Signal de décharge;Zonal;Zones fragiles déclarées;profil;;;+8 par zone
Signal de décharge;Zonal;Au moins 2 violations SRA;séances complétées;;;+12
Repère;—;Score de décharge;Total = systémique + (zonal ÷ 2), borné à 100.;Sous 30 : aucune alerte. 30 → semaine légère. 50 → décharge 7 j. 75 → repos 10-14 j.;;0 à 100
Repère;—;Carte vide « Tout va bien »;Aucune condition ci-dessus n'est remplie.;Un compte NEUF n'affiche jamais d'alerte : presque toutes les règles exigent des séances complétées ou des séries enregistrées.;;—
Repère;—;Source;src/lib/coaching-engine.js → computeDashboardAlerts();Régénérer avec program-data/gen-alertes.mjs si un seuil change dans le moteur.;;—
